"NU_CUSTOMER";"BANDEIRA";"RELATORIO"
1000133556;"1000133556-BANE";"DOMICILIO BANCARIO"
1000133556;"1000133556-CABA";"DOMICILIO BANCARIO"
1000133556;"1000133556-CRED";"DOMICILIO BANCARIO"
1000133556;"1000133556-DINE";"DOMICILIO BANCARIO"
1000133556;"1000133556-SORO";"DOMICILIO BANCARIO"
1001833160;"1001833160-BANE";"DOMICILIO BANCARIO"
1001833160;"1001833160-CABA";"DOMICILIO BANCARIO"
1001833160;"1001833160-CRED";"DOMICILIO BANCARIO"
1001833160;"1001833160-SORO";"DOMICILIO BANCARIO"
1003878137;"1003878137-DINE";"DOMICILIO BANCARIO"
1004360506;"1004360506-DINE";"DOMICILIO BANCARIO"
1006757454;"1006757454-BANE";"DOMICILIO BANCARIO"
1006757454;"1006757454-CABA";"DOMICILIO BANCARIO"
1006757454;"1006757454-CRED";"DOMICILIO BANCARIO"
1008253380;"1008253380-BANE";"DOMICILIO BANCARIO"
1008253380;"1008253380-CABA";"DOMICILIO BANCARIO"
1008253380;"1008253380-CRED";"DOMICILIO BANCARIO"
1008253380;"1008253380-SORO";"DOMICILIO BANCARIO"
1008426234;"1008426234-BANE";"DOMICILIO BANCARIO"
1008426234;"1008426234-CABA";"DOMICILIO BANCARIO"
1008426234;"1008426234-CRED";"DOMICILIO BANCARIO"
1008426234;"1008426234-SORO";"DOMICILIO BANCARIO"
1009318001;"1009318001-DINE";"DOMICILIO BANCARIO"
1010458458;"1010458458-BANE";"DOMICILIO BANCARIO"
1010458458;"1010458458-CABA";"DOMICILIO BANCARIO"
1010458458;"1010458458-CRED";"DOMICILIO BANCARIO"
1010458458;"1010458458-SORO";"DOMICILIO BANCARIO"
1010713431;"1010713431-BANE";"DOMICILIO BANCARIO"
1010713431;"1010713431-CABA";"DOMICILIO BANCARIO"
1010713431;"1010713431-CRED";"DOMICILIO BANCARIO"
1010713431;"1010713431-DINE";"DOMICILIO BANCARIO"
1010713431;"1010713431-MAST";"DOMICILIO BANCARIO"
1010713431;"1010713431-SORO";"DOMICILIO BANCARIO"
1010713431;"1010713431-VISA";"DOMICILIO BANCARIO"
1010793478;"1010793478-BANE";"DOMICILIO BANCARIO"
1010793478;"1010793478-CABA";"DOMICILIO BANCARIO"
1010793478;"1010793478-CRED";"DOMICILIO BANCARIO"
1010793478;"1010793478-DINE";"DOMICILIO BANCARIO"
1010793478;"1010793478-SORO";"DOMICILIO BANCARIO"
1011619382;"1011619382-BANE";"DOMICILIO BANCARIO"
1011619382;"1011619382-CABA";"DOMICILIO BANCARIO"
1011619382;"1011619382-CRED";"DOMICILIO BANCARIO"
1011619382;"1011619382-SORO";"DOMICILIO BANCARIO"
1012333172;"1012333172-SORO";"DOMICILIO BANCARIO"
1012396069;"1012396069-BANE";"DOMICILIO BANCARIO"
1012396069;"1012396069-CABA";"DOMICILIO BANCARIO"
1012396069;"1012396069-CRED";"DOMICILIO BANCARIO"
1012396069;"1012396069-DINE";"DOMICILIO BANCARIO"
1012396069;"1012396069-MAST";"DOMICILIO BANCARIO"
1012396069;"1012396069-SORO";"DOMICILIO BANCARIO"
1012396069;"1012396069-VISA";"DOMICILIO BANCARIO"
1012736900;"1012736900-BANE";"DOMICILIO BANCARIO"
1012736900;"1012736900-CABA";"DOMICILIO BANCARIO"
1012736900;"1012736900-CRED";"DOMICILIO BANCARIO"
1012736900;"1012736900-DINE";"DOMICILIO BANCARIO"
1012736900;"1012736900-MAST";"DOMICILIO BANCARIO"
1012736900;"1012736900-SORO";"DOMICILIO BANCARIO"
1012736900;"1012736900-VISA";"DOMICILIO BANCARIO"
1013327680;"1013327680-BANE";"DOMICILIO BANCARIO"
1013327680;"1013327680-CABA";"DOMICILIO BANCARIO"
1013327680;"1013327680-CRED";"DOMICILIO BANCARIO"
1013327680;"1013327680-SORO";"DOMICILIO BANCARIO"
1013586511;"1013586511-BANE";"DOMICILIO BANCARIO"
1013586511;"1013586511-CABA";"DOMICILIO BANCARIO"
1013586511;"1013586511-CRED";"DOMICILIO BANCARIO"
1013586511;"1013586511-DINE";"DOMICILIO BANCARIO"
1013586511;"1013586511-MAST";"DOMICILIO BANCARIO"
1013586511;"1013586511-VISA";"DOMICILIO BANCARIO"
1013616380;"1013616380-BANE";"DOMICILIO BANCARIO"
1013616380;"1013616380-CABA";"DOMICILIO BANCARIO"
1013616380;"1013616380-CRED";"DOMICILIO BANCARIO"
1013616380;"1013616380-DINE";"DOMICILIO BANCARIO"
1013616380;"1013616380-MAST";"DOMICILIO BANCARIO"
1013616380;"1013616380-SORO";"DOMICILIO BANCARIO"
1013616380;"1013616380-VISA";"DOMICILIO BANCARIO"
1013922864;"1013922864-BANE";"DOMICILIO BANCARIO"
1013922864;"1013922864-CABA";"DOMICILIO BANCARIO"
1013922864;"1013922864-CRED";"DOMICILIO BANCARIO"
1013922864;"1013922864-SORO";"DOMICILIO BANCARIO"
1014518811;"1014518811-DINE";"DOMICILIO BANCARIO"
1014575149;"1014575149-";"DOMICILIO BANCARIO"
1014697775;"1014697775-DINE";"DOMICILIO BANCARIO"
1015149844;"1015149844-MAST";"DOMICILIO BANCARIO"
1015149844;"1015149844-VISA";"DOMICILIO BANCARIO"
1016043110;"1016043110-BANE";"DOMICILIO BANCARIO"
1016043110;"1016043110-CABA";"DOMICILIO BANCARIO"
1016043110;"1016043110-CRED";"DOMICILIO BANCARIO"
1016043110;"1016043110-DINE";"DOMICILIO BANCARIO"
1016043110;"1016043110-SORO";"DOMICILIO BANCARIO"
1019048473;"1019048473-DINE";"DOMICILIO BANCARIO"
1020124803;"1020124803-CABA";"DOMICILIO BANCARIO"
1020124803;"1020124803-SORO";"DOMICILIO BANCARIO"
1020124803;"1020124803-VISA";"DOMICILIO BANCARIO"
1020382292;"1020382292-BANE";"DOMICILIO BANCARIO"
1020382292;"1020382292-CABA";"DOMICILIO BANCARIO"
1020382292;"1020382292-CRED";"DOMICILIO BANCARIO"
1020382292;"1020382292-DINE";"DOMICILIO BANCARIO"
1020382292;"1020382292-SORO";"DOMICILIO BANCARIO"
1021298783;"1021298783-BANE";"DOMICILIO BANCARIO"
1021298783;"1021298783-CABA";"DOMICILIO BANCARIO"
1022123464;"1022123464-BANE";"DOMICILIO BANCARIO"
1022123464;"1022123464-CABA";"DOMICILIO BANCARIO"
1022123464;"1022123464-CRED";"DOMICILIO BANCARIO"
1022123464;"1022123464-DINE";"DOMICILIO BANCARIO"
1022123464;"1022123464-MAST";"DOMICILIO BANCARIO"
1022123464;"1022123464-SORO";"DOMICILIO BANCARIO"
1022123464;"1022123464-VISA";"DOMICILIO BANCARIO"
1022277739;"1022277739-MAST";"DOMICILIO BANCARIO"
1022277739;"1022277739-VISA";"DOMICILIO BANCARIO"
1022602982;"1022602982-DINE";"DOMICILIO BANCARIO"
1023435230;"1023435230-BANE";"DOMICILIO BANCARIO"
1023435230;"1023435230-CRED";"DOMICILIO BANCARIO"
1023435230;"1023435230-DINE";"DOMICILIO BANCARIO"
1023435230;"1023435230-MAST";"DOMICILIO BANCARIO"
1023435230;"1023435230-VISA";"DOMICILIO BANCARIO"
