"EC";"BANDEIRA"
1000218772;"MASTERCARD"
1000901618;"MASTERCARD"
1001275338;"MASTERCARD"
1001975011;"MASTERCARD"
1002503504;"MASTERCARD"
1002609396;"MASTERCARD"
1002760876;"MASTERCARD"
1002956061;"MASTERCARD"
1003011150;"MASTERCARD"
1003948437;"MASTERCARD"
1004392556;"MASTERCARD"
1004853898;"MASTERCARD"
1005182253;"MASTERCARD"
1005182253;"VISA"
1005262940;"MASTERCARD"
1005397357;"MASTERCARD"
1005731397;"HIPERCARD"
1007169939;"MASTERCARD"
1007269976;"MASTERCARD"
1008250500;"MASTERCARD"
1009364640;"MASTERCARD"
1009365158;"MASTERCARD"
1009365182;"MASTERCARD"
1009365298;"MASTERCARD"
1009366014;"MASTERCARD"
1009369226;"MASTERCARD"
1009369269;"MASTERCARD"
1009376770;"MASTERCARD"
1009376850;"MASTERCARD"
1009467775;"MASTERCARD"
1009485927;"MASTERCARD"
1010361721;"MASTERCARD"
1010361721;"VISA"
1010366804;"MASTERCARD"
1010840310;"MASTERCARD"
1010879640;"MASTERCARD"
1011115902;"MASTERCARD"
1011657047;"MASTERCARD"
1012036941;"MASTERCARD"
1012815452;"MASTERCARD"
1012864119;"MASTERCARD"
1013691854;"MASTERCARD"
1013729452;"MASTERCARD"
1013729452;"VISA"
1014163207;"HIPERCARD"
1014286716;"MASTERCARD"
1014460040;"MASTERCARD"
1014552394;"MASTERCARD"
1014616724;"MASTERCARD"
1014950896;"MASTERCARD"
1016490116;"VISA"
1017005912;"MASTERCARD"
1017005912;"VISA"
1017132973;"MASTERCARD"
1018677248;"MASTERCARD"
1018728756;"MASTERCARD"
1019086987;"MASTERCARD"
1019086987;"VISA"
1021074176;"MASTERCARD"
1021074176;"VISA"
1022946053;"MASTERCARD"
1022946053;"VISA"
1023169654;"MASTERCARD"
1023562453;"MASTERCARD"
1023562453;"VISA"
1023821742;"MASTERCARD"
1024194792;"MASTERCARD"
1025631525;"MASTERCARD"
1025631525;"VISA"
1025773982;"VISA"
1027168016;"MASTERCARD"
1027168016;"VISA"
1027826323;"MASTERCARD"
1027826323;"VISA"
1027864128;"MASTERCARD"
1027925704;"MASTERCARD"
1027925704;"VISA"
1028143335;"VISA"
1028246789;"VISA"
1028992219;"MASTERCARD"
1028992219;"VISA"
1032272802;"MASTERCARD"
1033979748;"MASTERCARD"
1034936929;"MASTERCARD"
1035614534;"MASTERCARD"
1038908580;"MASTERCARD"
1040014817;"VISA"
1041704647;"MASTERCARD"
1041704647;"VISA"
1042164760;"HIPERCARD"
1044257846;"MASTERCARD"
1049754090;"HIPERCARD"
1050628451;"MASTERCARD"
1051554206;"MASTERCARD"
1051554206;"VISA"
1053356100;"MASTERCARD"
1053356100;"VISA"
1057437317;"VISA"
1057803062;"VISA"
1059887549;"MASTERCARD"
1059906977;"MASTERCARD"
1059906977;"VISA"
1062547141;"MASTERCARD"
1063121482;"MASTERCARD"
1063204353;"HIPERCARD"
1064974934;"MASTERCARD"
1064974934;"VISA"
1069642093;"HIPERCARD"
1070051389;"MASTERCARD"
1070220571;"MASTERCARD"
1070220571;"VISA"
1070647206;"MASTERCARD"
1070922770;"MASTERCARD"
1070952440;"MASTERCARD"
1072924797;"MASTERCARD"
1072935942;"MASTERCARD"
1072972937;"MASTERCARD"
1073019540;"MASTERCARD"
1073348994;"MASTERCARD"
1073349052;"MASTERCARD"
1073510252;"MASTERCARD"
1073725291;"MASTERCARD"
1073733014;"MASTERCARD"
1074156606;"MASTERCARD"
1074156606;"VISA"
1074520260;"MASTERCARD"
1075163550;"VISA"
1075534272;"MASTERCARD"
1076506990;"VISA"
1076867828;"MASTERCARD"
1076904383;"MASTERCARD"
1077725210;"MASTERCARD"
1077725210;"VISA"
1077893008;"MASTERCARD"
1077893008;"VISA"
1078045493;"MASTERCARD"
1078297140;"MASTERCARD"
1078828420;"MASTERCARD"
1078974249;"MASTERCARD"
1079035793;"MASTERCARD"
1079366277;"MASTERCARD"
1079621846;"VISA"
1080734438;"MASTERCARD"
1080810428;"MASTERCARD"
1082654601;"MASTERCARD"
1082810263;"MASTERCARD"
1082874733;"MASTERCARD"
1083489450;"MASTERCARD"
1084008090;"MASTERCARD"
1084741862;"MASTERCARD"
1085279577;"MASTERCARD"
1085299802;"MASTERCARD"
1086682219;"MASTERCARD"
1086863558;"MASTERCARD"
1087059086;"VISA"
1087127634;"MASTERCARD"
1087387105;"MASTERCARD"
1089390472;"VISA"
1091336005;"MASTERCARD"
1092657476;"MASTERCARD"
1093572008;"MASTERCARD"
1094903423;"MASTERCARD"
1094930250;"MASTERCARD"
1096298462;"MASTERCARD"
2759017030;"MASTERCARD"
4562383136;"MASTERCARD"
4563802140;"MASTERCARD"
4564143361;"MASTERCARD"
4564167503;"MASTERCARD"
4564167511;"MASTERCARD"
4564365410;"MASTERCARD"
