#EC;TIPO_ENDERECO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
"1000218268";"SUPRIMENTO";"LOGR";"AVENIDA  DOIS DE JUNHO 2649";"AVENIDA  DOIS DE JUNHO";"1000218268"
"1004021795";"CORRESPONDENCIA";"COMP";"em frente o posto aguiar";"121      EM FRENTE O POSTO AGUIA";"1004021795"
"1004021795";"SUPRIMENTO";"COMP";"em frente o posto aguiar";"121      EM FRENTE O POSTO AGUIA";"1004021795"
"1004021795";"CORRESPONDENCIA";"LOGR";"AVENIDA  AFRANIO RODRIGUES DA CUNHA 121";"AVENIDA  AFRANIO RODRIGUES DA CU";"1004021795"
"1004021795";"SUPRIMENTO";"LOGR";"AVENIDA  AFRANIO RODRIGUES DA CUNHA 121";"AVENIDA  AFRANIO RODRIGUES DA CU";"1004021795"
"1007650815";"CORRESPONDENCIA";"LOGR";"PRACA AMAURI 48";"PRACA AMAURI";"1007650815"
"1008528762";"CORRESPONDENCIA";"COMP";"janga";"1729     JANGA";"1008528762"
"1008528762";"CORRESPONDENCIA";"LOGR";"AVENIDA DR CLAUDIO JOSE GUEIROS LEITE 1729";"AVENIDA DR CLAUDIO JOSE GUEIROS";"1008528762"
"1008556529";"SUPRIMENTO";"COMP";"Posto de Gasolina";"4365     POSTO DE GASOLINA";"1008556529"
"1008556529";"SUPRIMENTO";"LOGR";"RUA MATEUS LEME 4365";"RUA MATEUS LEME";"1008556529"
"1008890267";"SUPRIMENTO";"LOGR";"AVENIDA  JOSE VIEIRA CAULA 3842";"AVENIDA  JOSE VIEIRA CAULA";"1008890267"
"1009275779";"CORRESPONDENCIA";"COMP";"loja 108 a";"8580     LOJA 108 A";"1009275779"
"1009275779";"CORRESPONDENCIA";"LOGR";"RODOVIA JOSE CARLOS DAUX 8580";"RODOVIA JOSE CARLOS DAUX";"1009275779"
"1011489993";"SUPRIMENTO";"LOGR";"RUA  JULIO GUERRA 645";"RUA  JULIO GUERRA";"1011489993"
"1011871596";"SUPRIMENTO";"CONT";"ROSANGELA          069 84596364";"ROSANGELA          0";"1011871596"
"1011871596";"SUPRIMENTO";"LOGR";"AVENIDA  CANAA 3305";"AVENIDA  CANAA";"1011871596"
"1012825547";"SUPRIMENTO";"LOGR";"RUA GEN OSORIO 193";"RUA GEN OSORIO";"1012825547"
"1017141913";"SUPRIMENTO";"COMP";"CONJUNTO 4 DE JANEIRO I";"6455     CONJUNTO 4 DE JANEIRO I";"1017141913"
"1017141913";"SUPRIMENTO";"LOGR";"AVENIDA CALAMA 6455";"AVENIDA CALAMA";"1017141913"
"1017226617";"CORRESPONDENCIA";"COMP";"s/n";"1140     S/N";"1017226617"
"1017226617";"CORRESPONDENCIA";"LOGR";"AVENIDA CAROLINA CANDIDA CABRAL 1140";"AVENIDA CAROLINA CANDIDA CABRAL";"1017226617"
"1019391658";"SUPRIMENTO";"LOGR";"RUA EXPEDICIONÁRIO LELLIS 1166";"RUA EXPEDICIONARIO LELLIS 1166";"1019391658"
"1019858386";"SUPRIMENTO";"COMP";"Centro - Loja 2";"260      CENTRO - LOJA 2";"1019858386"
"1019858386";"SUPRIMENTO";"LOGR";"RUA  LEOPOLDINA DE CAMARGO 260";"RUA  LEOPOLDINA DE CAMARGO";"1019858386"
"1020697668";"SUPRIMENTO";"COMP";"Loja G";"280      LOJA G";"1020697668"
"1020697668";"SUPRIMENTO";"LOGR";"RUA  TERESA 280";"RUA  TERESA";"1020697668"
"1021485869";"SUPRIMENTO";"LOGR";"RUA VENEZUELA 790";"RUA VENEZUELA";"1021485869"
"1022857158";"SUPRIMENTO";"COMP";"s/n";"122      S/N";"1022857158"
"1022857158";"SUPRIMENTO";"LOGR";"RUA EDUARDO VASSIMON 122";"RUA EDUARDO VASSIMON";"1022857158"
"1025237819";"SUPRIMENTO";"COMP";"mercadinho dilsinho";"915      MERCADINHO DILSINHO";"1025237819"
"1025237819";"SUPRIMENTO";"LOGR";"RUA JOAO MAURICIO CAMPOS MEDEIROS 915";"RUA JOAO MAURICIO CAMPOS MEDEIRO";"1025237819"
"1027784051";"SUPRIMENTO";"COMP";"TATUAPE";"476      TATUAPE";"1027784051"
"1027784051";"SUPRIMENTO";"CONT";"CLAYTON CESAR DA SILVA SANTOS";"CLAYTON CESAR DA SIL";"1027784051"
"1027784051";"SUPRIMENTO";"LOGR";"RUA  SERRA DE BRAGANCA 476";"RUA  SERRA DE BRAGANCA";"1027784051"
"1029557915";"SUPRIMENTO";"CONT";"LEONARDO/JAKELINE  011 988864413";"LEONARDO/JAKELINE  0";"1029557915"
"1032379330";"CORRESPONDENCIA";"LOGR";"RUA CIPRESTES 412";"RUA CIPRESTES";"1032379330"
"1034895823";"CORRESPONDENCIA";"COMP";"quadra 28";"30       QUADRA 28";"1034895823"
"1034895823";"SUPRIMENTO";"COMP";"quadra 28";"30       QUADRA 28";"1034895823"
"1034895823";"SUPRIMENTO";"CONT";"ORLANDO/JOSE       065 984015120";"ORLANDO/JOSE       0";"1034895823"
"1034895823";"SUPRIMENTO";"LOGR";"RUA  GRALHA AZUL 30";"RUA  GRALHA AZUL";"1034895823"
"1034895823";"CORRESPONDENCIA";"LOGR";"RUA GRALHA AZUL 30";"RUA GRALHA AZUL";"1034895823"
"1035812069";"SUPRIMENTO";"COMP";"L11 LOTE 56 GL 10 10 TESSAROLO";"-        L11 LOTE 56 GL 10 10 TE";"1035812069"
"1035812069";"SUPRIMENTO";"LOGR";"AVENIDA BELO HORIZONTE -";"AVENIDA BELO HORIZONTE";"1035812069"
"1037224431";"SUPRIMENTO";"COMP";"lojas 194/195 - Rodoviaria de Porto Alegre";"S/N      LOJAS 194/195 - RODOVIA";"1037224431"
"1037224431";"SUPRIMENTO";"CONT";"CLAUDIO RIHAN/SIMONE 30295006";"CLAUDIO RIHAN/SIMONE";"1037224431"
"1037224431";"SUPRIMENTO";"LOGR";"LARGO VESPASIANO JULIO VEPPO S/N";"LARGO VESPASIANO JULIO VEPPO";"1037224431"
"1038904991";"CORRESPONDENCIA";"COMP";"APT 505";"77       APT 505";"1038904991"
"1038904991";"CORRESPONDENCIA";"LOGR";"RUA FRANCISCO JUGLAIR 77";"RUA FRANCISCO JUGLAIR";"1038904991"
"1042471760";"CORRESPONDENCIA";"LOGR";"RUA BARTOLOMEU DOS SANTOS 678";"RUA BARTOLOMEU DOS SANTOS";"1042471760"
"1042471760";"SUPRIMENTO";"LOGR";"RUA BARTOLOMEU DOS SANTOS 678";"RUA BARTOLOMEU DOS SANTOS";"1042471760"
"1043874167";"CORRESPONDENCIA";"LOGR";"AVENIDA  CARMEM 78";"AVENIDA  CARMEM";"1043874167"
"1043961906";"SUPRIMENTO";"COMP";"bairro fartura. rua para de mi";"211      BAIRRO FARTURA. RUA PAR";"1043961906"
"1043961906";"SUPRIMENTO";"LOGR";"RUA PRINCIPAL 211";"RUA PRINCIPAL";"1043961906"
"1043980765";"SUPRIMENTO";"LOGR";"RUA  MILTON DA LUZ MOTTA 61";"RUA  MILTON DA LUZ MOTTA";"1043980765"
"1045266300";"CORRESPONDENCIA";"LOGR";"AVENIDA  COLETORA ARTUR TRINDADE 264";"AVENIDA  COLETORA ARTUR TRINDADE";"1045266300"
"1045712474";"CORRESPONDENCIA";"LOGR";"RUA  PIANCO 792";"RUA  PIANCO";"1045712474"
"1045712474";"SUPRIMENTO";"LOGR";"RUA  PIANCO 792";"RUA  PIANCO";"1045712474"
"1045970791";"SUPRIMENTO";"LOGR";"RUA  ESTANISLAU ANTONIO BRAS 149";"RUA  ESTANISLAU ANTONIO BRAS";"1045970791"
"1046571866";"SUPRIMENTO";"CONT";"ERASMO             021 039091021";"ERASMO             0";"1046571866"
"1046731189";"SUPRIMENTO";"LOGR";"RUA CORIOLANO FERRAZ DO AMARAL 26";"RUA CORIOLANO FERRAZ DO AMARAL";"1046731189"
"1047605900";"CORRESPONDENCIA";"CEP1";"05821030";"SEM VALOR";"1047605900"
"1047605900";"CORRESPONDENCIA";"CIDADE";"SAO PAULO";"SEM VALOR";"1047605900"
"1047605900";"CORRESPONDENCIA";"COMP";"chacara santana";"SEM VALOR";"1047605900"
"1047605900";"CORRESPONDENCIA";"ESTADO";"SP";"SEM VALOR";"1047605900"
"1047605900";"CORRESPONDENCIA";"LOGR";"RUA  BARTOLOMEU DOS SANTOS 678";"SEM VALOR";"1047605900"
"1048061504";"CORRESPONDENCIA";"COMP";"casa sobrado";"28       CASA SOBRADO";"1048061504"
"1048061504";"SUPRIMENTO";"COMP";"casa sobrado";"28       CASA SOBRADO";"1048061504"
"1048061504";"CORRESPONDENCIA";"LOGR";"TRAVESSA PACHECO 28";"TRAVESSA PACHECO";"1048061504"
"1048061504";"SUPRIMENTO";"LOGR";"TRAVESSA PACHECO 28";"TRAVESSA PACHECO";"1048061504"
"1050412114";"CORRESPONDENCIA";"COMP";"parque florida";"531      PARQUE FLORIDA";"1050412114"
"1050412114";"SUPRIMENTO";"COMP";"parque florida";"531      PARQUE FLORIDA";"1050412114"
"1050412114";"CORRESPONDENCIA";"LOGR";"AVENIDA 15 F 531";"AVENIDA 15 F";"1050412114"
"1050412114";"SUPRIMENTO";"LOGR";"AVENIDA 15 F 531";"AVENIDA 15 F";"1050412114"
"1051460058";"CORRESPONDENCIA";"COMP";"ANTONIO";"51       ANTONIO";"1051460058"
"1051460058";"SUPRIMENTO";"COMP";"ANTONIO";"51       ANTONIO";"1051460058"
