#EC;SERVICO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ;DATA_CONTROLE
"467847";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"467847";"29092017"
"468070";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"468070";"29092017"
"2206609";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"2206609";"29092017"
"2543168";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"2543168";"29092017"
"2698951";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"2698951";"29092017"
"1000054419";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1000054419";"29092017"
"1000514177";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1000514177";"29092017"
"1000517583";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1000517583";"29092017"
"1001474632";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1001474632";"29092017"
"1001579949";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1001579949";"29092017"
"1001720099";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1001720099";"29092017"
"1001779972";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1001779972";"29092017"
"1002190174";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1002190174";"29092017"
"1002444893";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1002444893";"29092017"
"1002751435";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1002751435";"29092017"
"1002980930";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1002980930";"29092017"
"1003290270";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1003290270";"29092017"
"1003452369";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1003452369";"29092017"
"1003978689";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1003978689";"29092017"
"1004060464";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1004060464";"29092017"
"1004196153";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1004196153";"29092017"
"1004199900";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1004199900";"29092017"
"1004358447";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1004358447";"29092017"
"1004606998";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1004606998";"29092017"
"1005103850";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005103850";"29092017"
"1005231602";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005231602";"29092017"
"1005301333";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005301333";"29092017"
"1005327499";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005327499";"29092017"
"1005475161";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005475161";"29092017"
"1005771895";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005771895";"29092017"
"1005776153";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005776153";"29092017"
"1005793732";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005793732";"29092017"
"1005922303";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005922303";"29092017"
"1005961090";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005961090";"29092017"
"1005974796";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005974796";"29092017"
"1005976578";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1005976578";"29092017"
"1006010928";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006010928";"29092017"
