#EC;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
1000507472;NUMERO_LOGICO;SEM VALOR;78895737;1000507472
1000716144;NUMERO_LOGICO;SEM VALOR;78789152;1000716144
1000989728;NUMERO_LOGICO;SEM VALOR;78276077;1000989728
1001295568;NUMERO_LOGICO;SEM VALOR;78793515;1001295568
1001525040;NUMERO_LOGICO;SEM VALOR;78738529;1001525040
1001642896;NUMERO_LOGICO;SEM VALOR;79031238;1001642896
1001950256;NUMERO_LOGICO;SEM VALOR;78644034;1001950256
1001950256;NUMERO_LOGICO;SEM VALOR;78654330;1001950256
1002005504;NUMERO_LOGICO;SEM VALOR;78867563;1002005504
1002841680;NUMERO_LOGICO;SEM VALOR;78655821;1002841680
1002919328;NUMERO_LOGICO;SEM VALOR;78495327;1002919328
1003437904;NUMERO_LOGICO;SEM VALOR;78336719;1003437904
1003756112;NUMERO_LOGICO;SEM VALOR;78492332;1003756112
1003817600;NUMERO_LOGICO;SEM VALOR;78459465;1003817600
1003823120;NUMERO_LOGICO;SEM VALOR;78942358;1003823120
1003908400;NUMERO_LOGICO;SEM VALOR;78339549;1003908400
1004034528;NUMERO_LOGICO;SEM VALOR;78221934;1004034528
1004034528;NUMERO_LOGICO;SEM VALOR;78249450;1004034528
1004034528;NUMERO_LOGICO;SEM VALOR;78319499;1004034528
1004034528;NUMERO_LOGICO;SEM VALOR;78347576;1004034528
1004034528;NUMERO_LOGICO;SEM VALOR;78350528;1004034528
1004071296;NUMERO_LOGICO;SEM VALOR;78225211;1004071296
1004071296;NUMERO_LOGICO;SEM VALOR;78904261;1004071296
1004071296;NUMERO_LOGICO;SEM VALOR;78906300;1004071296
1004121200;NUMERO_LOGICO;SEM VALOR;78857011;1004121200
1004157280;NUMERO_LOGICO;SEM VALOR;78383297;1004157280
1004157280;NUMERO_LOGICO;SEM VALOR;79003641;1004157280
1004480544;NUMERO_LOGICO;SEM VALOR;78939138;1004480544
1004655760;NUMERO_LOGICO;SEM VALOR;78899670;1004655760
1005280000;NUMERO_LOGICO;SEM VALOR;78397520;1005280000
1005280000;NUMERO_LOGICO;SEM VALOR;78640455;1005280000
1005349344;NUMERO_LOGICO;SEM VALOR;78211345;1005349344
1005379472;NUMERO_LOGICO;SEM VALOR;41111342;1005379472
1005536624;NUMERO_LOGICO;SEM VALOR;78968247;1005536624
1005613440;NUMERO_LOGICO;SEM VALOR;78863635;1005613440
1005762560;NUMERO_LOGICO;SEM VALOR;78190395;1005762560
1005762560;NUMERO_LOGICO;SEM VALOR;78972883;1005762560
1005781440;NUMERO_LOGICO;SEM VALOR;78687569;1005781440
1005891440;NUMERO_LOGICO;SEM VALOR;78539326;1005891440
1005891440;NUMERO_LOGICO;SEM VALOR;78539384;1005891440
1006056928;NUMERO_LOGICO;SEM VALOR;79009727;1006056928
1006797600;NUMERO_LOGICO;SEM VALOR;78817968;1006797600
1006877808;NUMERO_LOGICO;SEM VALOR;78422660;1006877808
1006934240;NUMERO_LOGICO;SEM VALOR;79012155;1006934240
1006934240;NUMERO_LOGICO;SEM VALOR;79017501;1006934240
1007169696;NUMERO_LOGICO;SEM VALOR;78970107;1007169696
1007206176;NUMERO_LOGICO;SEM VALOR;78613081;1007206176
1007209280;NUMERO_LOGICO;SEM VALOR;78307474;1007209280
1007273728;NUMERO_LOGICO;SEM VALOR;78455015;1007273728
1007358464;NUMERO_LOGICO;SEM VALOR;79031792;1007358464
1007373536;NUMERO_LOGICO;SEM VALOR;78612138;1007373536
1007755072;NUMERO_LOGICO;SEM VALOR;79042767;1007755072
1008471728;NUMERO_LOGICO;SEM VALOR;78974589;1008471728
1008478960;NUMERO_LOGICO;SEM VALOR;78332335;1008478960
1008647168;NUMERO_LOGICO;SEM VALOR;78508104;1008647168
1008647168;NUMERO_LOGICO;SEM VALOR;78609752;1008647168
1008742128;NUMERO_LOGICO;SEM VALOR;78580188;1008742128
1008745216;NUMERO_LOGICO;SEM VALOR;78707729;1008745216
1008745216;NUMERO_LOGICO;SEM VALOR;78942660;1008745216
1008745984;NUMERO_LOGICO;SEM VALOR;79063429;1008745984
1008844176;NUMERO_LOGICO;SEM VALOR;79018073;1008844176
1008890208;NUMERO_LOGICO;SEM VALOR;78607912;1008890208
1009155536;NUMERO_LOGICO;SEM VALOR;78720012;1009155536
1009253376;NUMERO_LOGICO;SEM VALOR;79024120;1009253376
1009560384;NUMERO_LOGICO;SEM VALOR;78982773;1009560384
1009560384;NUMERO_LOGICO;SEM VALOR;78975667;1009560384
1009602400;NUMERO_LOGICO;SEM VALOR;78995293;1009602400
1009702944;NUMERO_LOGICO;SEM VALOR;78864196;1008755343
1009716368;NUMERO_LOGICO;SEM VALOR;78797601;1009716368
1009716368;NUMERO_LOGICO;SEM VALOR;78797578;1009716368
1009832368;NUMERO_LOGICO;SEM VALOR;78748722;1009832368
1010095584;NUMERO_LOGICO;SEM VALOR;78937079;1010095584
1010144976;NUMERO_LOGICO;SEM VALOR;78583940;1010144976
1010253872;NUMERO_LOGICO;SEM VALOR;78322349;1010253872
1010472752;NUMERO_LOGICO;SEM VALOR;79001418;1010472752
1010624528;NUMERO_LOGICO;SEM VALOR;78777471;1010624528
1010740048;NUMERO_LOGICO;SEM VALOR;78716420;1010740048
1010765504;NUMERO_LOGICO;SEM VALOR;78908556;1010765504
1011038576;NUMERO_LOGICO;SEM VALOR;78805365;1011038576
1011133200;NUMERO_LOGICO;SEM VALOR;78970691;1011133200
1011723520;NUMERO_LOGICO;SEM VALOR;78192559;1011723520
1011841824;NUMERO_LOGICO;SEM VALOR;78647083;1011841824
1011851536;NUMERO_LOGICO;SEM VALOR;78881483;1011851536
1011879600;NUMERO_LOGICO;SEM VALOR;41065035;1011879600
1012041376;NUMERO_LOGICO;SEM VALOR;78560971;1012041376
1012397120;NUMERO_LOGICO;SEM VALOR;78875138;1012397120
1012432464;NUMERO_LOGICO;SEM VALOR;78973221;1012432464
1012564832;NUMERO_LOGICO;SEM VALOR;78387993;1012564832
1012591040;NUMERO_LOGICO;SEM VALOR;78288220;1012591040
1012605520;NUMERO_LOGICO;SEM VALOR;78764848;1012605520
1012624320;NUMERO_LOGICO;SEM VALOR;78943239;1012624320
1012701120;NUMERO_LOGICO;SEM VALOR;79029079;1012701120
1013155952;NUMERO_LOGICO;SEM VALOR;78799931;1013155952
1013180736;NUMERO_LOGICO;SEM VALOR;78428761;1013180736
1013180736;NUMERO_LOGICO;SEM VALOR;78761039;1013180736
1013267840;NUMERO_LOGICO;SEM VALOR;78833251;1013267840
1013533744;NUMERO_LOGICO;SEM VALOR;78308684;1013533744
1013549152;NUMERO_LOGICO;SEM VALOR;78471996;1013549152
1013614256;NUMERO_LOGICO;SEM VALOR;78759812;1013614256
1013667856;NUMERO_LOGICO;SEM VALOR;78204815;1013667856
1013749232;NUMERO_LOGICO;SEM VALOR;78254723;1013749232
1013841040;NUMERO_LOGICO;SEM VALOR;78285410;1013841040
1013945040;NUMERO_LOGICO;SEM VALOR;79002303;1013945040
1014256752;NUMERO_LOGICO;SEM VALOR;78476891;1014256752
1014256752;NUMERO_LOGICO;SEM VALOR;78497197;1014256752
1014274688;NUMERO_LOGICO;SEM VALOR;78502666;1014274688
1014380976;NUMERO_LOGICO;SEM VALOR;78746984;1014380976
1014391200;NUMERO_LOGICO;SEM VALOR;78316495;1014391200
1014805632;NUMERO_LOGICO;SEM VALOR;78933385;1014805632
1014946848;NUMERO_LOGICO;SEM VALOR;78244228;1014946848
1015007888;NUMERO_LOGICO;SEM VALOR;78695309;1015007888
1015190976;NUMERO_LOGICO;SEM VALOR;78594227;1015190976
1015203520;NUMERO_LOGICO;SEM VALOR;79061662;1015203520
1015722048;NUMERO_LOGICO;SEM VALOR;78865697;1015722048
1015788928;NUMERO_LOGICO;SEM VALOR;78703452;1015788928
1015958432;NUMERO_LOGICO;SEM VALOR;78614093;1015958432
1016058400;NUMERO_LOGICO;SEM VALOR;78721030;1016058400
1016380400;NUMERO_LOGICO;SEM VALOR;78857904;1016380400
1016480544;NUMERO_LOGICO;SEM VALOR;79061100;1016480544
1016870768;NUMERO_LOGICO;SEM VALOR;78190784;1016870768
1017010720;NUMERO_LOGICO;SEM VALOR;78520551;1017010720
1017013184;NUMERO_LOGICO;SEM VALOR;78778753;1017013184
1017105968;NUMERO_LOGICO;SEM VALOR;78986037;1017105968
1017193328;NUMERO_LOGICO;SEM VALOR;78221996;1017193328
1017878720;NUMERO_LOGICO;SEM VALOR;78932134;1017878720
1017975792;NUMERO_LOGICO;SEM VALOR;78251255;1017975792
1018037680;NUMERO_LOGICO;SEM VALOR;79018479;1018037680
1018206016;NUMERO_LOGICO;SEM VALOR;78891969;1018206016
1018297968;NUMERO_LOGICO;SEM VALOR;78536308;1018297968
1018437808;NUMERO_LOGICO;SEM VALOR;78417672;1018437808
1018437808;NUMERO_LOGICO;SEM VALOR;78930612;1018437808
1018644064;NUMERO_LOGICO;SEM VALOR;78215157;1018644064
1018708224;NUMERO_LOGICO;SEM VALOR;78310287;1018708224
1018911216;NUMERO_LOGICO;SEM VALOR;78969973;1018911216
1018912832;NUMERO_LOGICO;SEM VALOR;78885158;1018912832
1018912832;NUMERO_LOGICO;SEM VALOR;78884838;1018912832
1019209248;NUMERO_LOGICO;SEM VALOR;79063590;1019209248
1019247840;NUMERO_LOGICO;SEM VALOR;79024088;1019247840
1019381296;NUMERO_LOGICO;SEM VALOR;78617827;1019381296
1019414704;NUMERO_LOGICO;SEM VALOR;78934824;1019414704
1020039296;NUMERO_LOGICO;SEM VALOR;78248871;1020039296
1020112864;NUMERO_LOGICO;SEM VALOR;78459455;1020112864
1020168576;NUMERO_LOGICO;SEM VALOR;78632656;1020168576
1020200992;NUMERO_LOGICO;SEM VALOR;78973701;1020200992
1020286960;NUMERO_LOGICO;SEM VALOR;78205021;1020286960
1020718800;NUMERO_LOGICO;SEM VALOR;78288305;1020718800
1020779664;NUMERO_LOGICO;SEM VALOR;78329211;1020779664
1021150352;NUMERO_LOGICO;SEM VALOR;78208622;1021150352
1021388944;NUMERO_LOGICO;SEM VALOR;78634240;1021388944
1021679744;NUMERO_LOGICO;SEM VALOR;78719090;1021679744
1022132064;NUMERO_LOGICO;SEM VALOR;78303065;1022132064
1022255840;NUMERO_LOGICO;SEM VALOR;78192446;1022255840
1022377792;NUMERO_LOGICO;SEM VALOR;78906424;1022377792
1022876896;NUMERO_LOGICO;SEM VALOR;78458968;1022876896
1022985504;NUMERO_LOGICO;SEM VALOR;78984423;1022985504
1023038720;NUMERO_LOGICO;SEM VALOR;79036707;1023038720
1023108400;NUMERO_LOGICO;SEM VALOR;78272306;1023108400
1023108400;NUMERO_LOGICO;SEM VALOR;78299292;1023108400
1023108400;NUMERO_LOGICO;SEM VALOR;78375681;1023108400
1023296800;NUMERO_LOGICO;SEM VALOR;78454870;1023296800
1023510224;NUMERO_LOGICO;SEM VALOR;78462252;1023510224
1023510224;NUMERO_LOGICO;SEM VALOR;78590962;1023510224
1023510224;NUMERO_LOGICO;SEM VALOR;78609646;1023510224
1023510224;NUMERO_LOGICO;SEM VALOR;78622110;1023510224
1023510224;NUMERO_LOGICO;SEM VALOR;78647406;1023510224
1023510224;NUMERO_LOGICO;SEM VALOR;78651476;1023510224
1023510224;NUMERO_LOGICO;SEM VALOR;78652587;1023510224
1023727584;NUMERO_LOGICO;SEM VALOR;78503310;1023727584
1023790464;NUMERO_LOGICO;SEM VALOR;78782283;1023790464
1024058880;NUMERO_LOGICO;SEM VALOR;78645942;1024058880
1024368960;NUMERO_LOGICO;SEM VALOR;78385862;1024368960
1024510368;NUMERO_LOGICO;SEM VALOR;78920928;1024510368
1024707552;NUMERO_LOGICO;SEM VALOR;78291556;1024707552
1024807760;NUMERO_LOGICO;SEM VALOR;78432335;1024807760
1024807760;NUMERO_LOGICO;SEM VALOR;78581260;1024807760
1024814944;NUMERO_LOGICO;SEM VALOR;78959034;1024814944
1025072976;NUMERO_LOGICO;SEM VALOR;78771930;1025072976
1025134416;NUMERO_LOGICO;SEM VALOR;79052990;1025134416
1025171680;NUMERO_LOGICO;SEM VALOR;78582800;1025171680
1025219888;NUMERO_LOGICO;SEM VALOR;78604666;1025219888
1025292720;NUMERO_LOGICO;SEM VALOR;78381920;1025292720
1025458432;NUMERO_LOGICO;SEM VALOR;78764078;1025458432
1025630944;NUMERO_LOGICO;SEM VALOR;78279590;1025630944
1025741088;NUMERO_LOGICO;SEM VALOR;78724676;1025741088
1025880720;NUMERO_LOGICO;SEM VALOR;78924188;1025880720
1025987184;NUMERO_LOGICO;SEM VALOR;79050310;1025987184
1026137664;NUMERO_LOGICO;SEM VALOR;78365388;1026137664
1026213824;NUMERO_LOGICO;SEM VALOR;78947412;1026213824
1026302576;NUMERO_LOGICO;SEM VALOR;78739323;1026302576
1026347600;NUMERO_LOGICO;SEM VALOR;78952096;1026347600
1026347600;NUMERO_LOGICO;SEM VALOR;41095977;1026347600
1026347600;NUMERO_LOGICO;SEM VALOR;41095978;1026347600
1026738960;NUMERO_LOGICO;SEM VALOR;78192818;1026738960
1027197440;NUMERO_LOGICO;SEM VALOR;79041059;1027197440
1027216800;NUMERO_LOGICO;SEM VALOR;79031961;1027216800
1027467200;NUMERO_LOGICO;SEM VALOR;79007343;1027467200
1027630720;NUMERO_LOGICO;SEM VALOR;78200999;1027630720
1027701504;NUMERO_LOGICO;SEM VALOR;78955346;1027701504
1027770000;NUMERO_LOGICO;SEM VALOR;78769754;1027770000
1027770000;NUMERO_LOGICO;SEM VALOR;78770031;1027770000
1027770000;NUMERO_LOGICO;SEM VALOR;78776197;1027770000
1028376976;NUMERO_LOGICO;SEM VALOR;78941159;1028376976
1028561536;NUMERO_LOGICO;SEM VALOR;78391841;1028561536
1028561536;NUMERO_LOGICO;SEM VALOR;78394713;1028561536
1028561536;NUMERO_LOGICO;SEM VALOR;78399544;1028561536
1028919376;NUMERO_LOGICO;SEM VALOR;78609555;1028919376
1029008016;NUMERO_LOGICO;SEM VALOR;78667361;1029008016
1029023520;NUMERO_LOGICO;SEM VALOR;79055205;1029023520
1029128160;NUMERO_LOGICO;SEM VALOR;78336961;1029128160
1029169168;NUMERO_LOGICO;SEM VALOR;41081884;1029169168
1029241632;NUMERO_LOGICO;SEM VALOR;78779687;1029241632
1029557680;NUMERO_LOGICO;SEM VALOR;78232026;1029557680
1029962496;NUMERO_LOGICO;SEM VALOR;78856005;1029962496
1029992816;NUMERO_LOGICO;SEM VALOR;78270500;1029992816
1030040688;NUMERO_LOGICO;SEM VALOR;78255323;1030040688
1030040688;NUMERO_LOGICO;SEM VALOR;78470717;1030040688
1030183632;NUMERO_LOGICO;SEM VALOR;78383839;1030183632
1030183632;NUMERO_LOGICO;SEM VALOR;78931045;1030183632
1030453168;NUMERO_LOGICO;SEM VALOR;78593901;1030453168
1030609184;NUMERO_LOGICO;SEM VALOR;78449308;1030609184
1031142352;NUMERO_LOGICO;SEM VALOR;78275140;1031142352
1031262560;NUMERO_LOGICO;SEM VALOR;78765046;1031262560
1032377760;NUMERO_LOGICO;SEM VALOR;78804869;1032377760
1032572512;NUMERO_LOGICO;SEM VALOR;78655970;1032572512
1032742736;NUMERO_LOGICO;SEM VALOR;78465052;1032742736
1032849808;NUMERO_LOGICO;SEM VALOR;78361273;1032849808
1032980688;NUMERO_LOGICO;SEM VALOR;78257320;1032980688
1033057760;NUMERO_LOGICO;SEM VALOR;78914522;1033057760
1033328208;NUMERO_LOGICO;SEM VALOR;78838667;1033328208
1033593840;NUMERO_LOGICO;SEM VALOR;78982155;1033593840
1033639360;NUMERO_LOGICO;SEM VALOR;78245639;1033639360
1033639360;NUMERO_LOGICO;SEM VALOR;78311559;1033639360
1033639360;NUMERO_LOGICO;SEM VALOR;78319165;1033639360
1033707888;NUMERO_LOGICO;SEM VALOR;78879280;1033707888
1033707888;NUMERO_LOGICO;SEM VALOR;78880005;1033707888
1033707888;NUMERO_LOGICO;SEM VALOR;78880609;1033707888
1034054624;NUMERO_LOGICO;SEM VALOR;79061248;1034054624
1034181472;NUMERO_LOGICO;SEM VALOR;78921317;1034181472
1034181472;NUMERO_LOGICO;SEM VALOR;78922271;1034181472
1034273520;NUMERO_LOGICO;SEM VALOR;78988272;1034273520
1034487296;NUMERO_LOGICO;SEM VALOR;78771785;1034487296
1034487776;NUMERO_LOGICO;SEM VALOR;78701519;1034487776
1035079744;NUMERO_LOGICO;SEM VALOR;78280090;1035079744
1035134800;NUMERO_LOGICO;SEM VALOR;78658061;1035134800
1035208048;NUMERO_LOGICO;SEM VALOR;79013070;1035208048
1035359232;NUMERO_LOGICO;SEM VALOR;78930504;1035359232
1035387872;NUMERO_LOGICO;SEM VALOR;78670369;1035387872
1035465792;NUMERO_LOGICO;SEM VALOR;78915117;1035465792
1035601696;NUMERO_LOGICO;SEM VALOR;78700654;1035601696
1035879120;NUMERO_LOGICO;SEM VALOR;78851216;1035879120
1035930720;NUMERO_LOGICO;SEM VALOR;78695949;1035930720
1035975456;NUMERO_LOGICO;SEM VALOR;78681174;1035975456
1035979680;NUMERO_LOGICO;SEM VALOR;78360107;1035979680
1035979680;NUMERO_LOGICO;SEM VALOR;78363643;1035979680
1036091888;NUMERO_LOGICO;SEM VALOR;78682535;1036091888
1036538688;NUMERO_LOGICO;SEM VALOR;78434825;1036538688
1036696992;NUMERO_LOGICO;SEM VALOR;78832344;1036696992
1037074880;NUMERO_LOGICO;SEM VALOR;78939306;1037074880
1037469680;NUMERO_LOGICO;SEM VALOR;78610286;1037469680
1037514880;NUMERO_LOGICO;SEM VALOR;79027206;1037514880
1037574432;NUMERO_LOGICO;SEM VALOR;78339131;1037574432
1037613152;NUMERO_LOGICO;SEM VALOR;78610555;1037613152
1037706240;NUMERO_LOGICO;SEM VALOR;78910957;1037706240
1037845312;NUMERO_LOGICO;SEM VALOR;78510818;1037845312
1037942016;NUMERO_LOGICO;SEM VALOR;78442823;1037942016
1038418752;NUMERO_LOGICO;SEM VALOR;78566612;1014951779
1039532672;NUMERO_LOGICO;SEM VALOR;78263880;1039532672
1039859248;NUMERO_LOGICO;SEM VALOR;78348005;1039859248
1040015600;NUMERO_LOGICO;SEM VALOR;78216710;1040015600
1040097488;NUMERO_LOGICO;SEM VALOR;78829977;1040097488
1040097488;NUMERO_LOGICO;SEM VALOR;78830130;1040097488
1040097488;NUMERO_LOGICO;SEM VALOR;78830565;1040097488
1040345856;NUMERO_LOGICO;SEM VALOR;78641306;1040345856
1040725136;NUMERO_LOGICO;SEM VALOR;78738153;1040725136
1041196528;NUMERO_LOGICO;SEM VALOR;78957163;1041196528
1041375120;NUMERO_LOGICO;SEM VALOR;79026172;1041375120
1041395920;NUMERO_LOGICO;SEM VALOR;78825762;1041395920
1042017856;NUMERO_LOGICO;SEM VALOR;78506473;1042017856
1042957280;NUMERO_LOGICO;SEM VALOR;78785676;1068953982
1043196096;NUMERO_LOGICO;SEM VALOR;78288568;1043196096
1043750336;NUMERO_LOGICO;SEM VALOR;78512846;1043750336
1044027840;NUMERO_LOGICO;SEM VALOR;78964835;1044027840
1044267760;NUMERO_LOGICO;SEM VALOR;78660097;1044267760
1044544896;NUMERO_LOGICO;SEM VALOR;78295990;1044544896
1044544896;NUMERO_LOGICO;SEM VALOR;78293050;1044544896
1044544896;NUMERO_LOGICO;SEM VALOR;78300751;1044544896
1044544896;NUMERO_LOGICO;SEM VALOR;78334275;1044544896
1044544896;NUMERO_LOGICO;SEM VALOR;78333532;1044544896
1044719904;NUMERO_LOGICO;SEM VALOR;78973777;1044719904
1044719904;NUMERO_LOGICO;SEM VALOR;78973716;1044719904
1044949136;NUMERO_LOGICO;SEM VALOR;78849864;1044949136
1045353792;NUMERO_LOGICO;SEM VALOR;79048637;1045353792
1045539136;NUMERO_LOGICO;SEM VALOR;78310828;1045539136
1045539136;NUMERO_LOGICO;SEM VALOR;78324484;1045539136
1045539136;NUMERO_LOGICO;SEM VALOR;78302712;1045539136
1045539136;NUMERO_LOGICO;SEM VALOR;78365329;1045539136
1045539136;NUMERO_LOGICO;SEM VALOR;78401680;1045539136
1045539136;NUMERO_LOGICO;SEM VALOR;78401572;1045539136
1045911760;NUMERO_LOGICO;SEM VALOR;79015408;1045911760
1045935520;NUMERO_LOGICO;SEM VALOR;78342574;1045935520
1046000656;NUMERO_LOGICO;SEM VALOR;78948486;1046000656
1046112560;NUMERO_LOGICO;SEM VALOR;78237430;1046112560
1046113728;NUMERO_LOGICO;SEM VALOR;78237259;1046113728
1046515664;NUMERO_LOGICO;SEM VALOR;78718957;1046515664
1046713520;NUMERO_LOGICO;SEM VALOR;78319950;1046713520
1046739104;NUMERO_LOGICO;SEM VALOR;78250460;1046739104
1046739104;NUMERO_LOGICO;SEM VALOR;78346677;1046739104
1046918416;NUMERO_LOGICO;SEM VALOR;78781309;1046918416
1046995984;NUMERO_LOGICO;SEM VALOR;78979011;1046995984
1047006976;NUMERO_LOGICO;SEM VALOR;78258284;1047006976
1047063600;NUMERO_LOGICO;SEM VALOR;78789568;1047063600
1047206304;NUMERO_LOGICO;SEM VALOR;78336939;1047206304
1047341120;NUMERO_LOGICO;SEM VALOR;79037619;1047341120
1047557808;NUMERO_LOGICO;SEM VALOR;78533076;1047557808
1047712960;NUMERO_LOGICO;SEM VALOR;78259201;1047712960
1047969200;NUMERO_LOGICO;SEM VALOR;78221000;1047969200
1047969200;NUMERO_LOGICO;SEM VALOR;78915951;1047969200
1048197600;NUMERO_LOGICO;SEM VALOR;78219040;1048197600
1048330912;NUMERO_LOGICO;SEM VALOR;78887813;1048330912
1048352320;NUMERO_LOGICO;SEM VALOR;78533035;1048352320
1048514320;NUMERO_LOGICO;SEM VALOR;78913606;1048514320
1048935920;NUMERO_LOGICO;SEM VALOR;78712583;1048935920
1049234240;NUMERO_LOGICO;SEM VALOR;78742943;1049234240
1049363440;NUMERO_LOGICO;SEM VALOR;79066107;1049363440
1050377360;NUMERO_LOGICO;SEM VALOR;78406967;1050377360
1050377360;NUMERO_LOGICO;SEM VALOR;78934993;1050377360
1050759696;NUMERO_LOGICO;SEM VALOR;78257888;1050759696
1050797792;NUMERO_LOGICO;SEM VALOR;78727289;1050797792
1050973744;NUMERO_LOGICO;SEM VALOR;78193920;1050973744
1051088000;NUMERO_LOGICO;SEM VALOR;78770026;1051088000
1051088000;NUMERO_LOGICO;SEM VALOR;78770231;1051088000
1051158912;NUMERO_LOGICO;SEM VALOR;78342625;1051158912
1051422768;NUMERO_LOGICO;SEM VALOR;78402230;1051422768
1051429312;NUMERO_LOGICO;SEM VALOR;78910968;1051429312
1051754272;NUMERO_LOGICO;SEM VALOR;78788255;1051754272
1051754272;NUMERO_LOGICO;SEM VALOR;78797504;1051754272
1052016992;NUMERO_LOGICO;SEM VALOR;78645757;1052016992
1052079552;NUMERO_LOGICO;SEM VALOR;79018357;1052079552
1052169616;NUMERO_LOGICO;SEM VALOR;78700929;1006987689
1052546096;NUMERO_LOGICO;SEM VALOR;78851940;1052546096
1052679584;NUMERO_LOGICO;SEM VALOR;78731579;1052679584
1052987440;NUMERO_LOGICO;SEM VALOR;78634122;1052987440
1053110160;NUMERO_LOGICO;SEM VALOR;78494929;1053110160
1053365664;NUMERO_LOGICO;SEM VALOR;78432220;1053365664
1053365664;NUMERO_LOGICO;SEM VALOR;78440440;1053365664
1053365664;NUMERO_LOGICO;SEM VALOR;78428233;1053365664
1053365664;NUMERO_LOGICO;SEM VALOR;78461449;1053365664
1053365664;NUMERO_LOGICO;SEM VALOR;78464431;1053365664
1053646272;NUMERO_LOGICO;SEM VALOR;78287844;1053646272
1053830960;NUMERO_LOGICO;SEM VALOR;79006086;1053830960
1053856544;NUMERO_LOGICO;SEM VALOR;78480910;1053856544
1053936416;NUMERO_LOGICO;SEM VALOR;78544598;1053936416
1054205520;NUMERO_LOGICO;SEM VALOR;78811527;1054205520
1054361824;NUMERO_LOGICO;SEM VALOR;78202180;1054361824
1054405872;NUMERO_LOGICO;SEM VALOR;78414506;1054405872
1054537264;NUMERO_LOGICO;SEM VALOR;78534021;1054537264
1054561840;NUMERO_LOGICO;SEM VALOR;78396023;1054561840
1054955120;NUMERO_LOGICO;SEM VALOR;78250031;1054955120
1055144240;NUMERO_LOGICO;SEM VALOR;78191074;1055144240
1055913936;NUMERO_LOGICO;SEM VALOR;78585508;1055913936
1055940208;NUMERO_LOGICO;SEM VALOR;78446491;1055940208
