#EC;BANDEIRA;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
"1000012074";"MAS";"TRAVA";"S";"N";"1000012074"
"1000030390";"DIN";"TRAVA";"S";"N";"70169691"
"1000083451";"MAS";"TRAVA";"S";"N";"1000083451"
"1000107059";"VIS";"TRAVA";"N";"S";"1000107059"
"1000107342";"VIS";"TRAVA";"S";"N";"1000107342"
"1000146372";"MAS";"TRAVA";"S";"N";"1000146372"
"1000166160";"MAS";"TRAVA";"N";"S";"1000166160"
"1000178169";"VIS";"TRAVA";"N";"S";"1000178169"
"1000180147";"MAS";"TRAVA";"N";"S";"1000180147"
"1000185467";"VIS";"TRAVA";"N";"S";"1000185467"
"1000195462";"MAS";"TRAVA";"N";"S";"1000195462"
"1000195462";"VIS";"TRAVA";"N";"S";"1000195462"
"1000198283";"DIN";"TRAVA";"S";"N";"1000198283"
"1000199727";"MAS";"TRAVA";"S";"N";"1000199727"
"1000208505";"MAS";"TRAVA";"S";"N";"1000208505"
"1000214424";"AME";"TRAVA";"S";"N";"1000214424"
"1000236452";"MAS";"TRAVA";"N";"S";"1000236452"
"1000236452";"VIS";"TRAVA";"N";"S";"1000236452"
"1000243220";"MAS";"TRAVA";"S";"N";"1000243220"
"1000244625";"MAS";"TRAVA";"S";"N";"1000244625"
"1000247772";"MAS";"TRAVA";"S";"N";"1000247772"
"1000334357";"MAS";"TRAVA";"N";"S";"1000334357"
"1000346100";"MAS";"TRAVA";"S";"N";"1000346100"
"1000351863";"MAS";"TRAVA";"N";"S";"1000351863"
"1000351863";"VIS";"TRAVA";"N";"S";"1000351863"
"1000356121";"MAS";"TRAVA";"S";"N";"1000356121"
"1000360021";"MAS";"TRAVA";"N";"S";"1000360021"
"1000372453";"MAS";"TRAVA";"S";"N";"1000372453"
"1000376726";"MAS";"TRAVA";"N";"S";"1000376726"
"1000390877";"MAS";"TRAVA";"S";"N";"1000390877"
"1000393752";"MAS";"TRAVA";"S";"N";"1000393752"
"1000393752";"VIS";"TRAVA";"S";"N";"1000393752"
"1000403960";"DIN";"TRAVA";"S";"N";"1000399718"
